timestamp,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,platform_power,node_type
1699532126,0.0,737280.0,0.0,0.0,317.0,1
1699532129,61056.0,737280.0,27714.0,33342.0,334.0,1
1699532132,152184.0,696320.0,38635.33333333333,113548.66666666666,206.0,1
1699532135,0.0,0.0,0.0,0.0,204.0,1
1699532138,0.0,0.0,0.0,0.0,205.0,1
1699532141,37383.0,162474.6666666667,3179.0,34198.333333333336,205.0,1
1699532144,17629115.0,3960832.0,4168576.6666666665,13460538.0,233.0,1
1699532147,0.0,0.0,0.0,0.0,241.0,1
1699532150,0.0,0.0,0.0,0.0,243.0,1
1699532153,0.0,0.0,0.0,0.0,245.0,1
1699532156,0.0,0.0,0.0,0.0,242.0,1
1699532159,0.0,0.0,0.0,0.0,245.0,1
1699532162,0.0,0.0,0.0,0.0,243.0,1
1699532165,0.0,0.0,0.0,0.0,251.0,1
1699532168,0.0,0.0,0.0,0.0,245.0,1
1699532171,0.0,0.0,0.0,0.0,251.0,1
1699532174,0.0,0.0,0.0,0.0,260.0,1
1699532177,0.0,0.0,0.0,0.0,253.0,1
1699532180,0.0,0.0,0.0,0.0,258.0,1
1699532183,24554.333333333332,830122.6666666666,0.0,24554.333333333332,255.0,1
1699532186,0.0,830122.6666666666,0.0,0.0,249.0,1
1699532189,0.0,0.0,0.0,0.0,253.0,1
1699532192,1722.6666666666667,0.0,0.0,1729.0,245.0,1
1699532195,211296.0,671744.0,9618.0,201672.0,204.0,1
1699532198,10530.0,671744.0,2472.0,8058.0,205.0,1
1699532201,0.0,0.0,0.0,0.0,205.0,1
1699532204,0.0,0.0,0.0,0.0,204.0,1
1699532207,395088.0,589824.0,211632.0,183462.0,204.0,1
1699532210,0.0,0.0,0.0,0.0,242.0,1
1699532213,0.0,0.0,0.0,0.0,260.0,1
1699532216,0.0,0.0,0.0,0.0,269.0,1
1699532219,0.0,0.0,0.0,0.0,285.0,1
1699532222,0.0,0.0,0.0,0.0,277.0,1
1699532225,0.0,0.0,0.0,0.0,279.0,1
1699532228,0.0,0.0,0.0,0.0,286.0,1
1699532231,0.0,0.0,0.0,0.0,282.0,1
1699532234,0.0,0.0,0.0,0.0,287.0,1
1699532237,0.0,0.0,0.0,0.0,287.0,1
1699532240,0.0,0.0,0.0,0.0,288.0,1
1699532243,23906.666666666664,819200.0,5620.0,18286.666666666668,304.0,1
1699532246,68006.66666666667,819200.0,17660.0,50340.0,281.0,1
1699532249,174540.33333333334,778240.0,23845.0,150695.3333333333,203.0,1
1699532252,1108.3333333333335,752298.6666666666,259.66666666666663,848.6666666666666,207.0,1
1699532255,0.0,752298.6666666666,0.0,0.0,204.0,1
1699532258,0.0,0.0,0.0,0.0,201.0,1
1699532261,383065.3333333333,726357.3333333334,115178.0,267887.3333333334,204.0,1
1699532264,0.0,0.0,0.0,0.0,289.0,1
1699532267,0.0,0.0,0.0,0.0,288.0,1
1699532270,0.0,0.0,0.0,0.0,328.0,1
1699532273,0.0,0.0,0.0,0.0,326.0,1
1699532276,0.0,0.0,0.0,0.0,334.0,1
1699532279,0.0,0.0,0.0,0.0,340.0,1
1699532282,0.0,0.0,0.0,0.0,344.0,1
1699532285,0.0,0.0,0.0,0.0,345.0,1
1699532288,0.0,0.0,0.0,0.0,345.0,1
1699532291,0.0,0.0,0.0,0.0,344.0,1
1699532294,0.0,0.0,0.0,0.0,307.0,1
1699532297,253700.0,245760.0,97606.66666666666,156093.33333333334,215.0,1
1699532300,0.0,245760.0,0.0,0.0,206.0,1
1699532303,14453.333333333332,595285.3333333334,3400.0,11060.0,204.0,1
1699532306,0.0,546133.3333333334,0.0,0.0,201.0,1
1699532309,405486.6666666666,709973.3333333333,143226.66666666666,262260.0,207.0,1
1699532312,0.0,0.0,0.0,0.0,299.0,1
1699532315,0.0,0.0,0.0,0.0,340.0,1
1699532318,0.0,0.0,0.0,0.0,339.0,1
1699532321,0.0,0.0,0.0,0.0,348.0,1
1699532324,0.0,0.0,0.0,0.0,352.0,1
1699532327,0.0,0.0,0.0,0.0,355.0,1
1699532330,0.0,0.0,0.0,0.0,352.0,1
1699532333,0.0,0.0,0.0,0.0,352.0,1
1699532336,0.0,0.0,0.0,0.0,352.0,1
1699532339,0.0,0.0,0.0,0.0,352.0,1
1699532342,0.0,0.0,0.0,0.0,325.0,1
1699532345,197817.6666666667,139264.0,25522.666666666664,172295.0,202.0,1
1699532348,9032.666666666668,139264.0,2125.0,6907.666666666666,205.0,1
1699532351,0.0,0.0,0.0,0.0,204.0,1
1699532354,0.0,0.0,0.0,0.0,204.0,1
1699532357,335602.6666666666,580266.6666666667,94378.33333333334,241218.6666666667,206.0,1
1699532360,0.0,0.0,0.0,0.0,309.0,1
1699532363,35080.33333333333,778240.0,0.0,35086.66666666667,345.0,1
1699532366,0.0,0.0,0.0,0.0,353.0,1
1699532369,0.0,0.0,0.0,0.0,353.0,1
1699532372,0.0,0.0,0.0,0.0,351.0,1
1699532375,0.0,0.0,0.0,0.0,350.0,1
1699532378,0.0,0.0,0.0,0.0,351.0,1
1699532381,0.0,0.0,0.0,0.0,351.0,1
1699532384,0.0,0.0,0.0,0.0,351.0,1
1699532387,0.0,0.0,0.0,0.0,353.0,1
1699532390,71129.66666666666,0.0,0.0,71123.33333333334,321.0,1
1699532393,157146.0,0.0,39870.0,117276.0,207.0,1
1699532396,0.0,0.0,0.0,0.0,204.0,1
1699532399,0.0,0.0,0.0,0.0,202.0,1
1699532402,65718.0,98304.0,3588.0,62136.0,206.0,1
1699532405,17749248.666666668,3977216.0,4258683.666666666,13490565.0,250.0,1
1699532408,0.0,0.0,0.0,0.0,264.0,1
1699532411,0.0,0.0,0.0,0.0,268.0,1
1699532414,0.0,0.0,0.0,0.0,266.0,1
1699532417,0.0,0.0,0.0,0.0,271.0,1
1699532420,0.0,0.0,0.0,0.0,269.0,1
1699532423,24446.666666666664,819200.0,5753.333333333334,18686.666666666668,269.0,1
1699532426,0.0,819200.0,0.0,0.0,270.0,1
1699532429,0.0,819200.0,0.0,0.0,278.0,1
1699532432,0.0,0.0,0.0,0.0,281.0,1
1699532435,0.0,0.0,0.0,0.0,272.0,1
1699532438,0.0,0.0,0.0,0.0,275.0,1
1699532441,1740.0,0.0,406.66666666666663,1333.3333333333335,272.0,1
1699532444,0.0,0.0,0.0,0.0,270.0,1
1699532447,219006.66666666666,103765.33333333333,42129.333333333336,176883.66666666666,217.0,1
1699532450,11235.333333333334,103765.33333333333,11235.333333333334,0.0,205.0,1
1699532453,0.0,0.0,0.0,0.0,205.0,1
1699532456,0.0,0.0,0.0,0.0,203.0,1
1699532459,402667.0,570709.3333333333,151962.0,250698.66666666666,207.0,1
1699532462,0.0,0.0,0.0,0.0,245.0,1
1699532465,0.0,0.0,0.0,0.0,297.0,1
1699532468,0.0,0.0,0.0,0.0,306.0,1
1699532471,0.0,0.0,0.0,0.0,308.0,1
1699532474,0.0,0.0,0.0,0.0,304.0,1
1699532477,0.0,0.0,0.0,0.0,307.0,1
1699532480,0.0,0.0,0.0,0.0,309.0,1
1699532483,0.0,0.0,0.0,0.0,315.0,1
1699532486,16134.0,24576.0,3804.0,12336.0,312.0,1
1699532489,0.0,0.0,0.0,0.0,314.0,1
1699532492,0.0,0.0,0.0,0.0,315.0,1
1699532495,0.0,0.0,0.0,0.0,312.0,1
1699532498,198174.6666666667,928426.6666666667,108346.66666666666,89828.0,214.0,1
1699532501,19618.0,928426.6666666667,0.0,19612.333333333336,209.0,1
1699532504,0.0,0.0,0.0,0.0,205.0,1
1699532507,0.0,0.0,0.0,0.0,203.0,1
1699532510,359873.0,533845.3333333334,45854.66666666667,314024.0,204.0,1
1699532513,0.0,0.0,0.0,0.0,329.0,1
1699532516,0.0,0.0,0.0,0.0,374.0,1
1699532519,0.0,0.0,0.0,0.0,379.0,1
1699532522,0.0,0.0,0.0,0.0,383.0,1
1699532525,0.0,0.0,0.0,0.0,390.0,1
1699532528,0.0,0.0,0.0,0.0,397.0,1
1699532531,0.0,0.0,0.0,0.0,397.0,1
1699532534,0.0,0.0,0.0,0.0,399.0,1
1699532537,0.0,0.0,0.0,0.0,395.0,1
1699532540,0.0,0.0,0.0,0.0,394.0,1
1699532543,0.0,0.0,0.0,0.0,395.0,1
1699532546,98977.33333333333,0.0,45220.0,53751.0,298.0,1
1699532549,180222.0,0.0,70614.0,109614.0,210.0,1
1699532552,0.0,0.0,0.0,0.0,208.0,1
1699532555,0.0,0.0,0.0,0.0,205.0,1
1699532558,0.0,0.0,0.0,0.0,204.0,1
1699532561,368190.0,614400.0,135660.0,232524.0,268.0,1
1699532564,0.0,0.0,0.0,0.0,378.0,1
1699532567,0.0,0.0,0.0,0.0,393.0,1
1699532570,0.0,0.0,0.0,0.0,396.0,1
1699532573,0.0,0.0,0.0,0.0,397.0,1
1699532576,0.0,0.0,0.0,0.0,398.0,1
1699532579,0.0,0.0,0.0,0.0,400.0,1
1699532582,0.0,0.0,0.0,0.0,400.0,1
1699532585,0.0,0.0,0.0,0.0,400.0,1
1699532588,0.0,0.0,0.0,0.0,402.0,1
1699532591,0.0,0.0,0.0,0.0,400.0,1
1699532594,98741.66666666666,0.0,19011.666666666664,79730.0,234.0,1
1699532597,122938.33333333334,0.0,24723.666666666664,98220.33333333334,212.0,1
1699532600,0.0,0.0,0.0,0.0,209.0,1
1699532603,0.0,0.0,0.0,0.0,205.0,1
1699532606,370407.3333333334,662186.6666666666,98384.66666666666,272022.6666666667,204.0,1
1699532609,17610720.666666668,4111018.6666666665,4151898.0,13458816.333333334,294.0,1
1699532612,1830.3333333333333,0.0,0.0,1830.3333333333333,391.0,1
1699532615,0.0,0.0,0.0,0.0,397.0,1
1699532618,0.0,0.0,0.0,0.0,397.0,1
1699532621,0.0,0.0,0.0,0.0,396.0,1
1699532624,0.0,0.0,0.0,0.0,397.0,1
1699532627,0.0,0.0,0.0,0.0,399.0,1
1699532630,0.0,0.0,0.0,0.0,399.0,1
1699532633,0.0,0.0,0.0,0.0,396.0,1
1699532636,0.0,0.0,0.0,0.0,401.0,1
1699532639,63219.333333333336,0.0,14250.0,48975.666666666664,384.0,1
1699532642,164364.0,0.0,22332.0,142026.0,209.0,1
1699532645,0.0,0.0,0.0,0.0,208.0,1
1699532648,0.0,0.0,0.0,0.0,205.0,1
1699532651,0.0,0.0,0.0,0.0,206.0,1
1699532654,378594.0,540672.0,112872.0,265722.0,212.0,1
1699532657,0.0,0.0,0.0,0.0,229.0,1
1699532660,0.0,0.0,0.0,0.0,221.0,1
1699532663,0.0,0.0,0.0,0.0,219.0,1
1699532666,22666.666666666664,54613.33333333333,5353.333333333334,17320.0,220.0,1
1699532669,0.0,0.0,0.0,0.0,220.0,1
1699532672,0.0,0.0,0.0,0.0,222.0,1
1699532675,0.0,0.0,0.0,0.0,225.0,1
1699532678,0.0,0.0,0.0,0.0,219.0,1
1699532681,0.0,0.0,0.0,0.0,221.0,1
1699532684,64032.0,0.0,0.0,64032.0,220.0,1
1699532687,153175.6666666667,0.0,41837.0,111338.66666666666,205.0,1
1699532690,0.0,0.0,0.0,0.0,204.0,1
1699532693,0.0,0.0,0.0,0.0,205.0,1
1699532696,38907.33333333333,812373.3333333333,21771.333333333336,17136.0,204.0,1
1699532699,18004824.333333332,4262570.666666667,4266546.666666667,13738271.666666666,216.0,1
1699532702,0.0,0.0,0.0,0.0,225.0,1
1699532705,0.0,0.0,0.0,0.0,220.0,1
1699532708,0.0,0.0,0.0,0.0,220.0,1
1699532711,0.0,0.0,0.0,0.0,223.0,1
1699532714,0.0,0.0,0.0,0.0,220.0,1
1699532717,0.0,0.0,0.0,0.0,218.0,1
1699532720,0.0,0.0,0.0,0.0,220.0,1
1699532723,0.0,0.0,0.0,0.0,219.0,1
1699532726,21596.666666666668,25941.333333333332,5098.333333333333,16504.666666666664,218.0,1
1699532729,207132.0,24576.0,63630.0,143496.0,212.0,1
1699532732,11832.0,24576.0,2796.0,9036.0,208.0,1
1699532735,0.0,0.0,0.0,0.0,203.0,1
1699532738,0.0,0.0,0.0,0.0,203.0,1
1699532741,372138.0,589824.0,60852.0,311286.0,204.0,1
1699532744,0.0,0.0,0.0,0.0,221.0,1
1699532747,0.0,0.0,0.0,0.0,219.0,1
1699532750,0.0,0.0,0.0,0.0,226.0,1
1699532753,0.0,0.0,0.0,0.0,221.0,1
1699532756,0.0,0.0,0.0,0.0,220.0,1
1699532759,0.0,0.0,0.0,0.0,218.0,1
1699532762,0.0,0.0,0.0,0.0,220.0,1
1699532765,0.0,0.0,0.0,0.0,218.0,1
1699532768,0.0,0.0,0.0,0.0,221.0,1
1699532771,0.0,0.0,0.0,0.0,220.0,1
1699532774,253390.33333333334,0.0,50204.333333333336,203186.0,204.0,1
1699532777,0.0,0.0,0.0,0.0,206.0,1
1699532780,0.0,0.0,0.0,0.0,204.0,1
1699532783,0.0,0.0,0.0,0.0,203.0,1
1699532786,421458.0,648533.3333333334,139871.6666666667,281592.6666666666,206.0,1
1699532789,0.0,0.0,0.0,0.0,218.0,1
1699532792,1540.0,0.0,364.0,1176.0,220.0,1
1699532795,0.0,0.0,0.0,0.0,222.0,1
1699532798,0.0,0.0,0.0,0.0,224.0,1
1699532801,0.0,0.0,0.0,0.0,218.0,1
1699532804,0.0,0.0,0.0,0.0,219.0,1
1699532807,0.0,0.0,0.0,0.0,220.0,1
1699532810,0.0,0.0,0.0,0.0,219.0,1
1699532813,0.0,0.0,0.0,0.0,219.0,1
1699532816,66294.0,0.0,17058.0,49236.0,221.0,1
1699532819,151198.0,0.0,86025.66666666666,65166.66666666667,204.0,1
1699532822,0.0,0.0,0.0,0.0,204.0,1
1699532825,0.0,0.0,0.0,0.0,203.0,1
1699532828,0.0,0.0,0.0,0.0,205.0,1
1699532831,336509.3333333334,580266.6666666667,138057.0,198452.3333333333,227.0,1
1699532834,0.0,0.0,0.0,0.0,220.0,1
1699532837,0.0,0.0,0.0,0.0,218.0,1
1699532840,0.0,0.0,0.0,0.0,221.0,1
1699532843,0.0,0.0,0.0,0.0,219.0,1
1699532846,20811.333333333332,25941.333333333332,0.0,20811.333333333332,220.0,1
1699532849,0.0,0.0,0.0,0.0,219.0,1
1699532852,0.0,0.0,0.0,0.0,221.0,1
1699532855,0.0,0.0,0.0,0.0,219.0,1
1699532858,0.0,0.0,0.0,0.0,216.0,1
1699532861,141594.0,357717.3333333334,46847.0,94750.66666666667,217.0,1
1699532864,98856.0,357717.3333333334,30715.0,68143.33333333333,205.0,1
1699532867,0.0,0.0,0.0,0.0,203.0,1
1699532870,0.0,0.0,0.0,0.0,204.0,1
1699532873,368268.0,742741.3333333334,104484.0,263778.0,203.0,1
1699532876,12260.0,742741.3333333334,0.0,12260.0,232.0,1
1699532879,0.0,0.0,0.0,0.0,219.0,1
1699532882,0.0,0.0,0.0,0.0,219.0,1
1699532885,0.0,0.0,0.0,0.0,220.0,1
1699532888,0.0,0.0,0.0,0.0,221.0,1
1699532891,0.0,0.0,0.0,0.0,219.0,1
1699532894,0.0,0.0,0.0,0.0,220.0,1
1699532897,0.0,0.0,0.0,0.0,222.0,1
1699532900,0.0,0.0,0.0,0.0,227.0,1
1699532903,0.0,0.0,0.0,0.0,219.0,1
1699532906,222966.3333333333,0.0,52133.33333333333,170833.0,211.0,1
1699532909,10704.333333333332,0.0,0.0,10704.333333333332,204.0,1
1699532912,0.0,0.0,0.0,0.0,201.0,1
1699532915,0.0,0.0,0.0,0.0,204.0,1
1699532918,337353.6666666666,626688.0,74902.0,262457.3333333333,206.0,1
1699532921,0.0,0.0,0.0,0.0,221.0,1
1699532924,0.0,0.0,0.0,0.0,221.0,1
1699532927,0.0,0.0,0.0,0.0,220.0,1
1699532930,0.0,0.0,0.0,0.0,218.0,1
1699532933,0.0,0.0,0.0,0.0,222.0,1
1699532936,0.0,0.0,0.0,0.0,219.0,1
1699532939,0.0,0.0,0.0,0.0,225.0,1
1699532942,0.0,0.0,0.0,0.0,219.0,1
1699532945,0.0,0.0,0.0,0.0,220.0,1
1699532948,69654.0,0.0,44555.0,25092.666666666668,219.0,1
1699532951,183552.0,0.0,32838.0,150714.0,203.0,1
1699532954,0.0,0.0,0.0,0.0,204.0,1
1699532957,0.0,0.0,0.0,0.0,204.0,1
1699532960,0.0,0.0,0.0,0.0,203.0,1
1699532963,407142.0,614400.0,113688.0,293454.0,210.0,1
1699532966,22473.333333333336,0.0,5320.0,17160.0,219.0,1
1699532969,0.0,0.0,0.0,0.0,224.0,1
1699532972,1713.3333333333335,0.0,406.66666666666663,1300.0,217.0,1
1699532975,0.0,0.0,0.0,0.0,220.0,1
1699532978,0.0,0.0,0.0,0.0,219.0,1
1699532981,0.0,0.0,0.0,0.0,222.0,1
1699532984,0.0,0.0,0.0,0.0,220.0,1
1699532987,0.0,0.0,0.0,0.0,224.0,1
1699532990,0.0,0.0,0.0,0.0,220.0,1
1699532993,62310.0,0.0,28050.0,34266.0,222.0,1
1699532996,158247.3333333333,0.0,87686.0,70555.66666666666,206.0,1
1699532999,0.0,0.0,0.0,0.0,203.0,1
1699533002,0.0,0.0,0.0,0.0,204.0,1
1699533005,63251.33333333333,301738.6666666666,3683.333333333333,59568.0,205.0,1
1699533008,18214385.666666668,3734186.6666666665,4342549.0,13871842.333333332,221.0,1
1699533011,0.0,0.0,0.0,0.0,215.0,1
1699533014,0.0,0.0,0.0,0.0,223.0,1
1699533017,0.0,0.0,0.0,0.0,219.0,1
1699533020,0.0,0.0,0.0,0.0,224.0,1
1699533023,0.0,0.0,0.0,0.0,220.0,1
1699533026,20982.333333333332,0.0,4965.333333333333,16010.666666666666,221.0,1
1699533029,0.0,0.0,0.0,0.0,217.0,1
1699533032,0.0,0.0,0.0,0.0,222.0,1
1699533035,0.0,0.0,0.0,0.0,223.0,1
1699533038,204180.0,0.0,51018.0,153162.0,214.0,1
1699533041,20526.0,0.0,0.0,20526.0,203.0,1
1699533044,0.0,0.0,0.0,0.0,204.0,1
1699533047,0.0,0.0,0.0,0.0,202.0,1
1699533050,370224.0,638976.0,109830.0,260394.0,205.0,1
1699533053,0.0,0.0,0.0,0.0,230.0,1
1699533056,0.0,0.0,0.0,0.0,222.0,1
1699533059,0.0,0.0,0.0,0.0,224.0,1
1699533062,0.0,0.0,0.0,0.0,219.0,1
1699533065,0.0,0.0,0.0,0.0,220.0,1
1699533068,0.0,0.0,0.0,0.0,217.0,1
1699533071,0.0,0.0,0.0,0.0,220.0,1
1699533074,0.0,0.0,0.0,0.0,219.0,1
1699533077,0.0,0.0,0.0,0.0,221.0,1
1699533080,0.0,0.0,0.0,0.0,220.0,1
1699533083,263827.6666666666,0.0,46347.333333333336,217480.33333333334,211.0,1
1699533086,14997.333333333334,0.0,15003.666666666666,0.0,202.0,1
1699533089,0.0,0.0,0.0,0.0,203.0,1
1699533092,0.0,0.0,0.0,0.0,204.0,1
1699533095,406517.6666666667,674474.6666666666,203401.33333333334,203116.33333333334,206.0,1
1699533098,0.0,0.0,0.0,0.0,221.0,1
1699533101,0.0,0.0,0.0,0.0,220.0,1
1699533104,0.0,0.0,0.0,0.0,219.0,1
1699533107,0.0,0.0,0.0,0.0,218.0,1
1699533110,0.0,0.0,0.0,0.0,223.0,1
1699533113,0.0,0.0,0.0,0.0,221.0,1
1699533116,0.0,0.0,0.0,0.0,221.0,1
1699533119,0.0,0.0,0.0,0.0,225.0,1
1699533122,0.0,0.0,0.0,0.0,220.0,1
1699533125,61680.0,0.0,21912.0,39768.0,216.0,1
1699533128,145032.6666666667,0.0,23091.666666666664,121935.33333333334,201.0,1
1699533131,0.0,0.0,0.0,0.0,204.0,1
1699533134,0.0,0.0,0.0,0.0,206.0,1
1699533137,0.0,0.0,0.0,0.0,204.0,1
1699533140,354693.6666666666,626688.0,94678.66666666666,260015.0,219.0,1
1699533143,0.0,0.0,0.0,0.0,220.0,1
1699533146,20646.666666666668,25941.333333333332,4895.666666666667,15751.0,219.0,1
1699533149,0.0,0.0,0.0,0.0,220.0,1
1699533152,1646.6666666666667,0.0,392.6666666666667,1254.0,218.0,1
1699533155,0.0,0.0,0.0,0.0,218.0,1
1699533158,0.0,0.0,0.0,0.0,219.0,1
1699533161,0.0,0.0,0.0,0.0,218.0,1
1699533164,0.0,0.0,0.0,0.0,221.0,1
1699533167,0.0,0.0,0.0,0.0,223.0,1
1699533170,102372.0,462848.0,6306.0,96072.0,211.0,1
1699533173,115470.0,462848.0,22686.0,92778.0,208.0,1
1699533176,0.0,0.0,0.0,0.0,201.0,1
1699533179,0.0,0.0,0.0,0.0,205.0,1
1699533182,364830.0,1105920.0,65148.0,299682.0,202.0,1
1699533185,18070557.333333332,4565674.666666666,4279306.0,13791251.0,221.0,1
1699533188,0.0,0.0,0.0,0.0,223.0,1
1699533191,0.0,0.0,0.0,0.0,222.0,1
1699533194,0.0,0.0,0.0,0.0,221.0,1
1699533197,0.0,0.0,0.0,0.0,225.0,1
1699533200,0.0,0.0,0.0,0.0,223.0,1
1699533203,0.0,0.0,0.0,0.0,217.0,1
1699533206,19104.0,0.0,0.0,19104.0,230.0,1
1699533209,0.0,0.0,0.0,0.0,221.0,1
1699533212,0.0,0.0,0.0,0.0,220.0,1
1699533215,209702.33333333334,0.0,7865.333333333334,201837.0,201.0,1
1699533218,13464.0,0.0,13464.0,0.0,206.0,1
1699533221,0.0,0.0,0.0,0.0,203.0,1
1699533224,0.0,0.0,0.0,0.0,203.0,1
1699533227,345910.3333333334,603477.3333333333,87986.33333333334,257924.0,203.0,1
1699533230,0.0,0.0,0.0,0.0,221.0,1
1699533233,0.0,0.0,0.0,0.0,218.0,1
1699533236,0.0,0.0,0.0,0.0,223.0,1
1699533239,0.0,0.0,0.0,0.0,223.0,1
1699533242,0.0,0.0,0.0,0.0,226.0,1
1699533245,0.0,0.0,0.0,0.0,225.0,1
1699533248,0.0,0.0,0.0,0.0,219.0,1
1699533251,0.0,0.0,0.0,0.0,220.0,1
1699533254,0.0,0.0,0.0,0.0,217.0,1
1699533257,9736.0,329045.3333333333,9740.666666666666,0.0,220.0,1
1699533260,218856.66666666666,329045.3333333333,35624.333333333336,183228.0,201.0,1
1699533263,0.0,329045.3333333333,0.0,0.0,201.0,1
1699533266,16017.0,329045.3333333333,0.0,16017.0,203.0,1
1699533269,0.0,0.0,0.0,0.0,203.0,1
1699533272,430109.3333333333,700416.0,191323.66666666666,238785.66666666666,218.0,1
1699533275,0.0,0.0,0.0,0.0,222.0,1
1699533278,0.0,0.0,0.0,0.0,215.0,1
1699533281,0.0,0.0,0.0,0.0,225.0,1
1699533284,0.0,0.0,0.0,0.0,219.0,1
1699533287,0.0,0.0,0.0,0.0,221.0,1
1699533290,0.0,0.0,0.0,0.0,220.0,1
1699533293,0.0,0.0,0.0,0.0,221.0,1
1699533296,0.0,0.0,0.0,0.0,220.0,1
1699533299,0.0,0.0,0.0,0.0,222.0,1
1699533302,61770.0,0.0,2664.0,59112.0,217.0,1
1699533305,144443.3333333333,0.0,66237.66666666667,78205.66666666666,207.0,1
1699533308,0.0,0.0,0.0,0.0,205.0,1
1699533311,0.0,0.0,0.0,0.0,203.0,1
1699533314,58412.0,756394.6666666667,50274.66666666667,8137.333333333334,203.0,1
1699533317,18441512.999999996,4216149.333333333,4407750.666666666,14033762.333333334,235.0,1
1699533320,0.0,0.0,0.0,0.0,219.0,1
1699533323,0.0,0.0,0.0,0.0,217.0,1
1699533326,20311.0,25941.333333333332,0.0,20311.0,220.0,1
1699533329,0.0,0.0,0.0,0.0,216.0,1
1699533332,1615.0,0.0,0.0,1615.0,219.0,1
1699533335,0.0,0.0,0.0,0.0,219.0,1
1699533338,0.0,0.0,0.0,0.0,217.0,1
1699533341,0.0,0.0,0.0,0.0,220.0,1
1699533344,0.0,0.0,0.0,0.0,219.0,1
1699533347,218064.0,0.0,9966.0,208092.0,210.0,1
1699533350,13890.0,0.0,0.0,13890.0,204.0,1
1699533353,0.0,0.0,0.0,0.0,205.0,1
1699533356,0.0,0.0,0.0,0.0,204.0,1
1699533359,378840.0,614400.0,180150.0,198696.0,204.0,1
1699533362,0.0,0.0,0.0,0.0,222.0,1
1699533365,0.0,0.0,0.0,0.0,224.0,1
1699533368,0.0,0.0,0.0,0.0,223.0,1
1699533371,0.0,0.0,0.0,0.0,222.0,1
1699533374,0.0,0.0,0.0,0.0,220.0,1
1699533377,0.0,0.0,0.0,0.0,217.0,1
1699533380,0.0,0.0,0.0,0.0,230.0,1
1699533383,0.0,0.0,0.0,0.0,217.0,1
1699533386,21713.333333333336,0.0,0.0,21713.333333333336,223.0,1
1699533389,0.0,0.0,0.0,0.0,222.0,1
1699533392,248393.33333333334,0.0,100896.33333333333,147490.6666666667,204.0,1
1699533395,0.0,0.0,0.0,0.0,203.0,1
1699533398,0.0,0.0,0.0,0.0,202.0,1
1699533401,0.0,0.0,0.0,0.0,203.0,1
1699533404,387802.6666666667,622592.0,116457.33333333333,271345.3333333334,210.0,1
1699533407,0.0,0.0,0.0,0.0,218.0,1
1699533410,0.0,0.0,0.0,0.0,219.0,1
1699533413,0.0,0.0,0.0,0.0,226.0,1
1699533416,0.0,0.0,0.0,0.0,220.0,1
1699533419,0.0,0.0,0.0,0.0,220.0,1
1699533422,0.0,0.0,0.0,0.0,215.0,1
1699533425,0.0,0.0,0.0,0.0,221.0,1
1699533428,0.0,0.0,0.0,0.0,220.0,1
1699533431,0.0,0.0,0.0,0.0,219.0,1
